kaggle_dataset_names,kaggle_dataset,gcs_path
graf10a/siim-tfrec-cc-256-train,siim-tfrec-cc-256-train,gs://kds-76ca0b22fa22cd8d1d35cf9fab4870a2fe27148c18e60f4ae81bf4e2
graf10a/siim-tfrec-cc-384-train,siim-tfrec-cc-384-train,gs://kds-4d1f37306fa666bc0b305c02fd9b37345a22fadfd450346cd739fd5f
graf10a/siim-tfrec-cc-512-external,siim-tfrec-cc-512-external,gs://kds-cfe883cf8aaaf95a08dd613590f006770c71c68c86b5126696e371b9
graf10a/siim-tfrec-cc-640-external,siim-tfrec-cc-640-external,gs://kds-31297163ab9d01c12787b949198ea30fb96cdfb8b7975445277cbd6b
graf10a/siim-tfrec-cc-640-test,siim-tfrec-cc-640-test,gs://kds-46fb08041b0585d980c87c5c7842c8ea3bf944ff36ee2f3dea19cc32
graf10a/siim-tfrecs-opencv-512-external,siim-tfrecs-opencv-512-external,gs://kds-d43057020b11bed2543231257c8b559816850f034e7a52278a8b3452
graf10a/siim-tfrecs-opencv-512-test,siim-tfrecs-opencv-512-test,gs://kds-bed1cb706bb48e948b9c2368378d0c8fd01d3daf20d5bea106b9c2ec
graf10a/siim-tfrecs-opencv-512-train,siim-tfrecs-opencv-512-train,gs://kds-999a43ca0dc2169b4c0459e93a87d61d59c78fb1ce0bd8e89f40e783
hugomathien/soccer,soccer,gs://kds-57380fbbb654035ec432f67d8153c4b37703499dc553f0e7b12e7705
karangadiya/fifa19,fifa19,gs://kds-950edd66c5accf5528eb0a91efc6ad512ddfb279ceec86aff8d68afe
lava18/google-play-store-apps,google-play-store-apps,gs://kds-829235b0385d916f10ab778f176565fb95721d747d7827cec2219dcf
mlg-ulb/creditcardfraud,creditcardfraud,gs://kds-f100c1ef12f0a28bdbee4d896472a2801321c4058f0407184da29a46
paultimothymooney/chest-xray-pneumonia,chest-xray-pneumonia,gs://kds-294933660d0c81513494d27eb2b08c8d51c4e8b945b58ecaeeab7568
ronitf/heart-disease-uci,heart-disease-uci,gs://kds-85348df8105d97cb4da1663a72cd0a8a84534504e971e191973a71c2
sudalairajkumar/novel-corona-virus-2019-dataset,novel-corona-virus-2019-dataset,gs://kds-d61e3c419fd06e522a84ba4d9a5ab62b9995001ee2d21d835e44aa1f
tmdb/tmdb-movie-metadata,tmdb-movie-metadata,gs://kds-4d172f9374ccd4b463f9187e1067099748667f3d697611439b959eb6
zynicide/wine-reviews,wine-reviews,gs://kds-e99f788183d805b032073bcaba6524481fc57ea828db5d30358d2d26
aaron7sun/stocknews,stocknews,gs://kds-32b4ed60a36abc32b0e4898f27a446f646be93a0b95e41517bb068ed
abcsds/pokemon,pokemon,gs://kds-8a69ba0841f34dabdd16da0eb5e117582d89f14e0956ac3e04d02726
berkeleyearth/climate-change-earth-surface-temperature-data,climate-change-earth-surface-temperature-data,gs://kds-ff1461993b9ad6676df2d2e5ae96e263c264eded6db214b4a8174662
blastchar/telco-customer-churn,telco-customer-churn,gs://kds-7072e674e8e392f27312d650e4fcb485ac2dd8db56c2bdf301dd72f2
dgomonov/new-york-city-airbnb-open-data,new-york-city-airbnb-open-data,gs://kds-5284cdbd90896f60d9597c6663f07600c1065ae81858fca9f0e62cc8
gregorut/videogamesales,videogamesales,gs://kds-88c29b381d3abcbacd7bf27de90c8b7225753a17b3b2387cf5fdfcfe
heesoo37/120-years-of-olympic-history-athletes-and-results,120-years-of-olympic-history-athletes-and-results,gs://kds-13d4a5bcae47b0032e064e7417d7eafa9c96500f6a207d6e1f2301fd
kashnitsky/mlcourse,mlcourse,gs://kds-2c3991eb0466ac50eaae7599da7071abc2a631acf093c90c0e61fd1d
kemical/kickstarter-projects,kickstarter-projects,gs://kds-e1b0a5d9ff52c39f1076c988d90096568be94eaae6b437238d57b84d
kimjihoo/coronavirusdataset,coronavirusdataset,gs://kds-9169a0f3af76a5f38c1e746c29cd68a3df162b408b31908d4cd8a1b2
mczielinski/bitcoin-historical-data,bitcoin-historical-data,gs://kds-47964ed6c00c4763006cd0604e0a1da731f24b41a4324cc2d4a52e92
mohansacharya/graduate-admissions,graduate-admissions,gs://kds-8872ab200149dc743500ffde4ea4830c42963cf698b5e291539fce29
moltean/fruits,fruits,gs://kds-9575b356b9fea2430559388e3836d927d25c77a6a9c0e15ace7e4829
neuromusic/avocado-prices,avocado-prices,gs://kds-a0daf5002aa2902919e80cbcb796de01c96392663d01c3da0bc485d3
pavansubhasht/ibm-hr-analytics-attrition-dataset,ibm-hr-analytics-attrition-dataset,gs://kds-ef23e7bad704a8897ae0c4fac43ad0ac587a396d92b3eef1e773a329
roche-data-science-coalition/uncover,uncover,gs://kds-6c5aefdd848d02c09d18e2d93916a452639abc89b92779bfe3f0b2a6
rounakbanik/the-movies-dataset,the-movies-dataset,gs://kds-f64a95a456c639d8c7e55924d3cc493c5fb18c684e0de2ffed3841d9
russellyates88/suicide-rates-overview-1985-to-2016,suicide-rates-overview-1985-to-2016,gs://kds-4bf059cd58ada341fe728071562ab3c44de8c68ae14c57132d1024c6
shivamb/netflix-shows,netflix-shows,gs://kds-fec413ad7189c07f47c5f0648f02f4817442f0d1d87cb982225e7ba4
snap/amazon-fine-food-reviews,amazon-fine-food-reviews,gs://kds-6876fb9c70d992161c43e7f1c609f717cb6aa8bc516444c608d4b69a
spscientist/students-performance-in-exams,students-performance-in-exams,gs://kds-bee4d0fb250c27b9c267bda26e0f5cb3b4b5db612b119f882ddbbb6a
START-UMD/gtd,gtd,gs://kds-420fcce4d3ab4bf10c6e45c3c7ce9b00aa4f92a63caa8b668921c35a
timoboz/data-science-cheat-sheets,data-science-cheat-sheets,gs://kds-61e2055dc8e9cd8e44560e41369d917261c666ff18a641abc5f56068
uciml/breast-cancer-wisconsin-data,breast-cancer-wisconsin-data,gs://kds-d25e547d0425dc7141288ac1a6af13be1b342d3cdcd8fac16bacc04a
uciml/iris,iris,gs://kds-b5f1dbe66dca27a2c5f701ae3d8393b9157ca6b9d9e142226f4bcea2
uciml/mushroom-classification,mushroom-classification,gs://kds-2198632a351b4f9dc661526a25a8f9e30404bd868070b61be9fb7368
uciml/pima-indians-diabetes-database,pima-indians-diabetes-database,gs://kds-bfbc7feffca02170b6dd7a2c2b70be1fa7b4c07b511dc73a63d51ea5
unsdsn/world-happiness,world-happiness,gs://kds-7d3ce69f7f277795309967d47ca479008dadb4649f2d6146800f6fd6
worldbank/world-development-indicators,world-development-indicators,gs://kds-4482df9fcf10bf1cffc40377bce359b9817b7b7681f7d3cc51b2d734
zalando-research/fashionmnist,fashionmnist,gs://kds-53e050b4f48f1bae822d38b99dc5faa7888586d2cae0e0277f1a62f6
alxmamaev/flowers-recognition,flowers-recognition,gs://kds-692eb7bc5a86cb96b090718697b37a294400714c4f027dc147610145
datamunge/sign-language-mnist,sign-language-mnist,gs://kds-3ff1a3acb46b9cd7e35fa3eb8225d4095ffc5ce3f81f895f8b9c20bb
dgawlik/nyse,nyse,gs://kds-f86e7884ef34a73768ff026b26eb361c2cd0cfceb5c1620e2ab390f3
fivethirtyeight/fivethirtyeight-comic-characters-dataset,fivethirtyeight-comic-characters-dataset,gs://kds-ed21050eedab4d66642289fa64142d5bd6c5805f5cce82430c8d04c8
harlfoxem/housesalesprediction,housesalesprediction,gs://kds-16b4dd8658bcc49f39a8d96089dad7b14fa6a0ba759724dfb07d8511
himanshupoddar/zomato-bangalore-restaurants,zomato-bangalore-restaurants,gs://kds-7a55d942e3d7f39847c6b393769657acde070b8992fa70fc5756b054
iarunava/cell-images-for-detecting-malaria,cell-images-for-detecting-malaria,gs://kds-ecae43deee1ef67467029e7dd2f6766288f59b78eea010bd29735b3c
imdevskp/corona-virus-report,corona-virus-report,gs://kds-277843f1bd79872512b17d7037f72dd7dcfb023dc06ab98dc697c977
jameslko/gun-violence-data,gun-violence-data,gs://kds-c4870f1564e5e485cbe8b7f38e5aa4b3c38240853450d045ad77ae7c
jealousleopard/goodreadsbooks,goodreadsbooks,gs://kds-899d7fe488b3ed3307af8a37cae9deb9dbd83e68f66bde3077e137ff
jessemostipak/hotel-booking-demand,hotel-booking-demand,gs://kds-5aec738d1ef14a49113a7c1a83cdfdc2615970821a4851d6f4435051
kaggle/kaggle-survey-2017,kaggle-survey-2017,gs://kds-81452a9075ae789e056cd5a0b5d02dcaf29a137ce67618ceaed94bf2
kaggle/kaggle-survey-2018,kaggle-survey-2018,gs://kds-e96ff75ffbc18a961d4c73a308b6f38bed64be9d88f118072ee41888
kazanova/sentiment140,sentiment140,gs://kds-a79015bef8400079cfde8cdd2a028be3491b9cc1f51a21f0f8ee88d6
kiva/data-science-for-good-kiva-crowdfunding,data-science-for-good-kiva-crowdfunding,gs://kds-816fbc14988a4a4ed71a2e762a7c774c775912ccce7c034e986d7d26
kmader/skin-cancer-mnist-ham10000,skin-cancer-mnist-ham10000,gs://kds-1c05aeea8f05f57c639c9aab6c9798328809c790877bf614a53e3978
martj42/international-football-results-from-1872-to-2017,international-football-results-from-1872-to-2017,gs://kds-1c2362cd5dabe5ca7bb17b40e8adfababe3efcd3a3a92541f9f6e1cf
mirichoi0218/insurance,insurance,gs://kds-174dee1b105872df052c815b70ca8d33180934fd0d07d2ebe87628c7
mylesoneill/game-of-thrones,game-of-thrones,gs://kds-1ee4ed2d9ef6b24527e38f9f6bb415a0c67c65fefcfc99dac34605c6
netflix-inc/netflix-prize-data,netflix-prize-data,gs://kds-03224c277e63de9dab7a04d10f00836c7d06fecc749b82b4931340d6
ntnu-testimon/paysim1,paysim1,gs://kds-4a5e69af3256775301e991c7a189a4e1e6c6c980ebc864f69bd1b544
olistbr/brazilian-ecommerce,brazilian-ecommerce,gs://kds-72278c9bdf35222cb72b5d16c413df2a2c6966121c957c6d46f34219
openfoodfacts/world-food-facts,world-food-facts,gs://kds-68f7282de11dc2183cf85f714b013bd181227ad32fb8a7a76823b120
ramamet4/app-store-apple-data-set-10k-apps,app-store-apple-data-set-10k-apps,gs://kds-f60154f388620b48bf0074ca8c6f5725e14ae4e69197242b85bdab7e
sobhanmoosavi/us-accidents,us-accidents,gs://kds-c2d441487df0d89b203d2065d7a2e01dc226fc30e721ac0035ff43c8
sudalairajkumar/covid19-in-india,covid19-in-india,gs://kds-b9e588b33ea8f2bbff2b1b166b9a7b569359804fcf5fb01241e7b609
uciml/red-wine-quality-cortez-et-al-2009,red-wine-quality-cortez-et-al-2009,gs://kds-3abebcde4af6e8e99ec7997eeb8cab28ca0b52f2c7a209ff89e6e012
uciml/student-alcohol-consumption,student-alcohol-consumption,gs://kds-d8c421c20560501d923926067f4471ffe4a748fc27be8dd3cd889b39
vjchoudhary7/customer-segmentation-tutorial-in-python,customer-segmentation-tutorial-in-python,gs://kds-2f1300a36b2550572a8bd2aafffe451c86cda9ea2e59524ca1db2edb
yelp-dataset/yelp-dataset,yelp-dataset,gs://kds-0efd3f354ad077b52e4fa59d6e9893b8f8331f0203a580be368253be
abecklas/fifa-world-cup,fifa-world-cup,gs://kds-b25cc67c786f99b113a9c8735ca1ce1584e4f6585e41ed3c53b55d83
AnalyzeBoston/crimes-in-boston,crimes-in-boston,gs://kds-8fbf4a1a8588f1005014242489bbfad23365c8fe7f4ac646b670c235
annavictoria/speed-dating-experiment,speed-dating-experiment,gs://kds-ae3b39d784e4280f6da64343ffab03135860b4be04e718494f71ccd3
camnugent/sandp500,sandp500,gs://kds-3fb6ec66e5710a84f242d0b8971301ec5d40a05a08c191dac07b1d49
carrie1/ecommerce-data,ecommerce-data,gs://kds-93b6b8a45181bfb1a039723793d1224309092e51a867567fdf7ed365
CooperUnion/anime-recommendations-database,anime-recommendations-database,gs://kds-3d97880260aa4ecb8d6b78860266ed721aa20add5a0847dd234d6589
crowdflower/twitter-airline-sentiment,twitter-airline-sentiment,gs://kds-539104b28bfe88cb4539b4534be02afa1e2359dc82757c65ed28079d
datasnaek/mbti-type,mbti-type,gs://kds-60b4ec8a59144cb4ac990fb8fa87287db2903e1e8fa01339fcfea703
donorschoose/io,io,gs://kds-78c5ad12f99347603e6cf27902a42d38d7b1fcaf09b2a218c14c2adc
drgilermo/nba-players-stats,nba-players-stats,gs://kds-c8ab980ce733a3a332543e0510f36af9d9f3c54dadb7bc5e43c312c5
gustavomodelli/forest-fires-in-brazil,forest-fires-in-brazil,gs://kds-1c67a132c4fa3ebb5716fdd8395bde1fbc23190ea9071f6ac212c6ab
ikarus777/best-artworks-of-all-time,best-artworks-of-all-time,gs://kds-dd20b92d51c57a173821993ce3b74c8a4db6033e59e0f10303d7743c
jessicali9530/celeba-dataset,celeba-dataset,gs://kds-d7e10fd517e4f54b29e7086711d1ae37a682dd27ebf158184b9a0cf6
joniarroba/noshowappointments,noshowappointments,gs://kds-edc4a34613cbcdbc7fa0a275ff122dbb3dd92dabf327098efa9388b5
leonardopena/top50spotify2019,top50spotify2019,gs://kds-7c311a730c478b66092e4f801b100bcbdc141b9cd2e4ba74aeacaf64
manasgarg/ipl,ipl,gs://kds-0e854ec06ef19778658763ff563e5d5eb76308a2442c0c905232e8cc
mylesoneill/world-university-rankings,world-university-rankings,gs://kds-faef2f65e9c2c141fa7e53b2b65fa3686d82d043d31883c18462db93
nicapotato/womens-ecommerce-clothing-reviews,womens-ecommerce-clothing-reviews,gs://kds-c64efae2fa757b6b5d5dca5f84d85f423c151c8287b8ef4664a2a462
nih-chest-xrays/data,data,gs://kds-35e767b61f3930d5918e743edc4f5ad5f511714a979b93be5e8d7b96
osmi/mental-health-in-tech-survey,mental-health-in-tech-survey,gs://kds-02e214ef9caffa20405a2d27561c761830adf95122db83011855a537
passnyc/data-science-for-good,data-science-for-good,gs://kds-c87ae836acd902384ceea31ca66a3dda242c4d745e77e240f6da8709
primaryobjects/voicegender,voicegender,gs://kds-6127491994d21d66aca46a1814323a4a51b1a1cdbbaaea099a47ddf0
rajeevw/ufcdata,ufcdata,gs://kds-cf2cb96b2b74071847358b7f53759ab297c6e5b765b623692286d91f
rounakbanik/pokemon,pokemon,gs://kds-60e27dbf92cb38cc2c128d670509a0720066b79fa66954e892342251
rounakbanik/ted-talks,ted-talks,gs://kds-24252dec022430871bceeb55650b98205d61fbd3a5106381a69b5fd1
rush4ratio/video-game-sales-with-ratings,video-game-sales-with-ratings,gs://kds-15430a40d9a8bd4cf61a8c7a8cc74084d4866affac12e4f26f4305d6
tristan581/17k-apple-app-store-strategy-games,17k-apple-app-store-strategy-games,gs://kds-e860bd874ab698b870e2b987e1091aa0755d5862a13a632bb7c075b6
uciml/sms-spam-collection-dataset,sms-spam-collection-dataset,gs://kds-11945a5689fbb86b507ee0326e627c65fa5808567a42f8a246f72653
usdot/flight-delays,flight-delays,gs://kds-4039c0d334ddfa5a1382cbe88623fb19615f52ffe6984affc236cddb
wsj/college-salaries,college-salaries,gs://kds-d2a3706fa6c382903e985a260919b0243eb8697e634ac79a15ec87f8
cdeotte/melanoma-v1-1024x1024,melanoma-v1-1024x1024,gs://kds-a395566fe01a4669d62c13e2a8b084927a499367f2f90e759b918c3e
cdeotte/melanoma-v1-128x128,melanoma-v1-128x128,gs://kds-9e0210b4855e2c78c3d5530f5d5e6455a946d7131b749ef7586308f4
cdeotte/melanoma-v1-192x192,melanoma-v1-192x192,gs://kds-ae6561f10c45515a44802146df8c15c2bee9d8614bad2d68a102daf7
cdeotte/melanoma-v1-256x256,melanoma-v1-256x256,gs://kds-b99de3bbf1d3442feecb1890c9dedd7f587e926bd2825f6411d5741b
cdeotte/melanoma-v1-384x384,melanoma-v1-384x384,gs://kds-a85d350c4dd449d9340aaf5d59068e0e68cd24915c0b85e3ca4babc8
cdeotte/melanoma-v1-512x512,melanoma-v1-512x512,gs://kds-bbd314755cedbc3425865821d26c77fe95749499c9a046bebc0fe1a3
cdeotte/melanoma-v1-768x768,melanoma-v1-768x768,gs://kds-47e8de345f2ec15c4c0ccf8500ef7baae4bcf6f84bd07933ccba09ef
cdeotte/tf-efficientnet-b4,tf-efficientnet-b4,gs://kds-df15b5515f6987b7b54b9821a691f602ef35c37d3c42da151cb5168d
graf10a/siim-cc-jpegs-128-external,siim-cc-jpegs-128-external,gs://kds-c54f506cb09bed906cdc03bf82f40b0a77d7f5a403d546da1de5cd5d
graf10a/siim-cc-jpegs-128-test,siim-cc-jpegs-128-test,gs://kds-d866d5fb212293be99ca476d8dcdaaf83e359fbde3de7a6851c8d80a
graf10a/siim-cc-jpegs-256-external,siim-cc-jpegs-256-external,gs://kds-f7ef1bd842fd53295d78aa89208a2182a91e2a9c74c34de41fc5ca97
graf10a/siim-cc-jpegs-256-test,siim-cc-jpegs-256-test,gs://kds-6f3c7f0cf4f1ae764f314c54e1fbadb4ac6136afab7974d4b5079381
graf10a/siim-cc-jpegs-256-train,siim-cc-jpegs-256-train,gs://kds-189f8ad7f21bb9805ef22dd74a16b0335562f1db3366c81f92c75274
graf10a/siim-cc-jpegs-384-external,siim-cc-jpegs-384-external,gs://kds-1c42d03817bd90b322b0894e8c29dc2d8919dfdd5a41b7457d5a411f
graf10a/siim-cc-jpegs-384-test,siim-cc-jpegs-384-test,gs://kds-8376a15824b2674e72ad9a4474b942ef30e6b83b43dbb3bd88f28726
graf10a/siim-cc-jpegs-384-train,siim-cc-jpegs-384-train,gs://kds-6d371b175cac8fc4653b8488dc573c85fa67264e1ee47a63305bcbe7
graf10a/siim-tfrec-cc-256-test,siim-tfrec-cc-256-test,gs://kds-7fedbd4f62c18bf022c68c05e74bd2cb89565ae403aee1eb65e48fdd
graf10a/siim-tfrec-cc-384-test,siim-tfrec-cc-384-test,gs://kds-b04a2e3c06aa0f0c005e413184a72826e908c595c788c4ced51cd3c1
graf10a/siim-tfrec-cc-512-train,siim-tfrec-cc-512-train,gs://kds-8d44d1d3c10e3f6adba9a03199486e4f98ec0de3b94e39dcd58021d0
graf10a/siim-tfrec-cc-640-train,siim-tfrec-cc-640-train,gs://kds-58f85ec38aa8be6cc448547138e4a1a8cbf1ccdbab64b60ad0025c41
graf10a/siim-tfrec-cc-768-external,siim-tfrec-cc-768-external,gs://kds-b017a5ce68a45a4c11190854077266024f926d3020e0e7f601866bb8
graf10a/siim-tfrec-cc-768-test,siim-tfrec-cc-768-test,gs://kds-b86aa3f4cdcf7689ccdd73b5ffceb8596b103ebc295aa1cef3c4c247
graf10a/siim-tfrec-cc-768-train-part-1,siim-tfrec-cc-768-train-part-1,gs://kds-f96c7e714d07ef9880a9a1b31d8042c704b9ca97b54352648d410dea
graf10a/siim-tfrec-cc-768-train-part-2,siim-tfrec-cc-768-train-part-2,gs://kds-991c81b43515875e7fe5ab2baa2a4821703daa78b8a08fc15005271f
