kaggle_dataset_names,gcs_path,kaggle_dataset
cdeotte/jpeg-isic2019-768x768,gs://kds-0a28f00c0ebd0ce3834a670c081c1855487325912a737be7b892102e,jpeg-isic2019-768x768
cdeotte/jpeg-isic2019-1024x1024,gs://kds-8d58289559263a040759cc53ebc797fca8979d6435f68a6d330ac881,jpeg-isic2019-1024x1024
shonenkov/bengal-5-fold,gs://kds-b2a2934c4d3a8138ab13d2821d93217558f2ab6237b4d8f4d6d46159,bengal-5-fold
shonenkov/x5retailheroupliftrawdata,gs://kds-098f066e1946311726c760b787b159c8e0d8e4774b5464b4aa5825cd,x5retailheroupliftrawdata
shonenkov/ghostnetbengali,gs://kds-e9285c8f94ddf699fb2d7b753e52f48d7bd93f6f34e7c9b9e777a824,ghostnetbengali
shonenkov/fasttext-300-russian-crawl-pickle,gs://kds-e6d3e41595df35203c38de126e7f4cdc8d316fe413bb1848f443d0cf,fasttext-300-russian-crawl-pickle
shonenkov/dsbowl2019featurelake,gs://kds-76f1460746b1d6ddab9e585034155dd162bf8fe2b93285c2f54de32a,dsbowl2019featurelake
shonenkov/bowl2019publictest,gs://kds-b2611e60ea0384a3093a0b5ebcab7bfc765e8ce9db28e33fcbecc20b,bowl2019publictest
shonenkov/bengaliresnet50d128x128kfold,gs://kds-c92f7e3124828f972eb24c42c84ff24125b50a265c91934c36281d7b,bengaliresnet50d128x128kfold
shonenkov/kfolddeepfakeeffb2-flip,gs://kds-b95984a05dd4969d6f571b5bb2c0a0273c4238e1c0b230b99b3e3888,kfolddeepfakeeffb2-flip
shonenkov/face-detector,gs://kds-9382abf87a314a306463af887ab091343cb641670b01ea5d0ad9a152,face-detector
shonenkov/kdold-deepfake-effb2,gs://kds-97fa84d58424ee35cc5153f90823ca723665b576d57251cb77715675,kdold-deepfake-effb2
shonenkov/pytorchefficientnet,gs://kds-b254f7c18ae182de61e66216ac456afa796e7421a87d6069ed195cba,pytorchefficientnet
shonenkov/bengalilabeltransforming,gs://kds-b99b2a7febc3dc5af983e3f01f2fbfa359798b4c51ff88c91df70a01,bengalilabeltransforming
shonenkov/multitpu-inference,gs://kds-dca4c2d578fd2896fa26f4b1d75e40f9a01719dfc49551f5679d8c3d,multitpu-inference
shonenkov/pretrained-jasper10x5dr-nomask,gs://kds-9cdb96cc24f4df04d18f79fa1c447113c1cf5bb58a04ea2a5bc6cb10,pretrained-jasper10x5dr-nomask
shonenkov/russian-numbers-asr,gs://kds-56aaca6d3fe924fc0fde66764302532dbb76abc91929af002b35c7ea,russian-numbers-asr
