kaggle_dataset_names,gcs_path,kaggle_dataset
kimjihoo/coronavirusdataset,gs://kds-9169a0f3af76a5f38c1e746c29cd68a3df162b408b31908d4cd8a1b2,coronavirusdataset
heesoo37/120-years-of-olympic-history-athletes-and-results,gs://kds-13d4a5bcae47b0032e064e7417d7eafa9c96500f6a207d6e1f2301fd,120-years-of-olympic-history-athletes-and-results
timoboz/data-science-cheat-sheets,gs://kds-61e2055dc8e9cd8e44560e41369d917261c666ff18a641abc5f56068,data-science-cheat-sheets
aaron7sun/stocknews,gs://kds-32b4ed60a36abc32b0e4898f27a446f646be93a0b95e41517bb068ed,stocknews
roche-data-science-coalition/uncover,gs://kds-6c5aefdd848d02c09d18e2d93916a452639abc89b92779bfe3f0b2a6,uncover
kashnitsky/mlcourse,gs://kds-2c3991eb0466ac50eaae7599da7071abc2a631acf093c90c0e61fd1d,mlcourse
pavansubhasht/ibm-hr-analytics-attrition-dataset,gs://kds-ef23e7bad704a8897ae0c4fac43ad0ac587a396d92b3eef1e773a329,ibm-hr-analytics-attrition-dataset
berkeleyearth/climate-change-earth-surface-temperature-data,gs://kds-ff1461993b9ad6676df2d2e5ae96e263c264eded6db214b4a8174662,climate-change-earth-surface-temperature-data
uciml/mushroom-classification,gs://kds-2198632a351b4f9dc661526a25a8f9e30404bd868070b61be9fb7368,mushroom-classification
blastchar/telco-customer-churn,gs://kds-7072e674e8e392f27312d650e4fcb485ac2dd8db56c2bdf301dd72f2,telco-customer-churn
kemical/kickstarter-projects,gs://kds-e1b0a5d9ff52c39f1076c988d90096568be94eaae6b437238d57b84d,kickstarter-projects
harlfoxem/housesalesprediction,gs://kds-16b4dd8658bcc49f39a8d96089dad7b14fa6a0ba759724dfb07d8511,housesalesprediction
yelp-dataset/yelp-dataset,gs://kds-0efd3f354ad077b52e4fa59d6e9893b8f8331f0203a580be368253be,yelp-dataset
martj42/international-football-results-from-1872-to-2017,gs://kds-1c2362cd5dabe5ca7bb17b40e8adfababe3efcd3a3a92541f9f6e1cf,international-football-results-from-1872-to-2017
fivethirtyeight/fivethirtyeight-comic-characters-dataset,gs://kds-ed21050eedab4d66642289fa64142d5bd6c5805f5cce82430c8d04c8,fivethirtyeight-comic-characters-dataset
sudalairajkumar/covid19-in-india,gs://kds-629f07eac7d09a3e4f42fc350f832735d51a5edb4f832b0600e420fc,covid19-in-india
olistbr/brazilian-ecommerce,gs://kds-72278c9bdf35222cb72b5d16c413df2a2c6966121c957c6d46f34219,brazilian-ecommerce
ramamet4/app-store-apple-data-set-10k-apps,gs://kds-f60154f388620b48bf0074ca8c6f5725e14ae4e69197242b85bdab7e,app-store-apple-data-set-10k-apps
dgawlik/nyse,gs://kds-f86e7884ef34a73768ff026b26eb361c2cd0cfceb5c1620e2ab390f3,nyse
kiva/data-science-for-good-kiva-crowdfunding,gs://kds-816fbc14988a4a4ed71a2e762a7c774c775912ccce7c034e986d7d26,data-science-for-good-kiva-crowdfunding
imdevskp/corona-virus-report,gs://kds-277843f1bd79872512b17d7037f72dd7dcfb023dc06ab98dc697c977,corona-virus-report
kaggle/kaggle-survey-2018,gs://kds-e96ff75ffbc18a961d4c73a308b6f38bed64be9d88f118072ee41888,kaggle-survey-2018
jealousleopard/goodreadsbooks,gs://kds-899d7fe488b3ed3307af8a37cae9deb9dbd83e68f66bde3077e137ff,goodreadsbooks
jessemostipak/hotel-booking-demand,gs://kds-5aec738d1ef14a49113a7c1a83cdfdc2615970821a4851d6f4435051,hotel-booking-demand
uciml/red-wine-quality-cortez-et-al-2009,gs://kds-3abebcde4af6e8e99ec7997eeb8cab28ca0b52f2c7a209ff89e6e012,red-wine-quality-cortez-et-al-2009
alxmamaev/flowers-recognition,gs://kds-692eb7bc5a86cb96b090718697b37a294400714c4f027dc147610145,flowers-recognition
iarunava/cell-images-for-detecting-malaria,gs://kds-ecae43deee1ef67467029e7dd2f6766288f59b78eea010bd29735b3c,cell-images-for-detecting-malaria
openfoodfacts/world-food-facts,gs://kds-68f7282de11dc2183cf85f714b013bd181227ad32fb8a7a76823b120,world-food-facts
kmader/skin-cancer-mnist-ham10000,gs://kds-1c05aeea8f05f57c639c9aab6c9798328809c790877bf614a53e3978,skin-cancer-mnist-ham10000
sobhanmoosavi/us-accidents,gs://kds-c2d441487df0d89b203d2065d7a2e01dc226fc30e721ac0035ff43c8,us-accidents
himanshupoddar/zomato-bangalore-restaurants,gs://kds-7a55d942e3d7f39847c6b393769657acde070b8992fa70fc5756b054,zomato-bangalore-restaurants
mirichoi0218/insurance,gs://kds-174dee1b105872df052c815b70ca8d33180934fd0d07d2ebe87628c7,insurance
uciml/student-alcohol-consumption,gs://kds-d8c421c20560501d923926067f4471ffe4a748fc27be8dd3cd889b39,student-alcohol-consumption
kaggle/kaggle-survey-2017,gs://kds-81452a9075ae789e056cd5a0b5d02dcaf29a137ce67618ceaed94bf2,kaggle-survey-2017
jameslko/gun-violence-data,gs://kds-c4870f1564e5e485cbe8b7f38e5aa4b3c38240853450d045ad77ae7c,gun-violence-data
vjchoudhary7/customer-segmentation-tutorial-in-python,gs://kds-2f1300a36b2550572a8bd2aafffe451c86cda9ea2e59524ca1db2edb,customer-segmentation-tutorial-in-python
mylesoneill/game-of-thrones,gs://kds-1ee4ed2d9ef6b24527e38f9f6bb415a0c67c65fefcfc99dac34605c6,game-of-thrones
kazanova/sentiment140,gs://kds-a79015bef8400079cfde8cdd2a028be3491b9cc1f51a21f0f8ee88d6,sentiment140
ntnu-testimon/paysim1,gs://kds-4a5e69af3256775301e991c7a189a4e1e6c6c980ebc864f69bd1b544,paysim1
netflix-inc/netflix-prize-data,gs://kds-03224c277e63de9dab7a04d10f00836c7d06fecc749b82b4931340d6,netflix-prize-data
datamunge/sign-language-mnist,gs://kds-3ff1a3acb46b9cd7e35fa3eb8225d4095ffc5ce3f81f895f8b9c20bb,sign-language-mnist
passnyc/data-science-for-good,gs://kds-c87ae836acd902384ceea31ca66a3dda242c4d745e77e240f6da8709,data-science-for-good
camnugent/sandp500,gs://kds-3fb6ec66e5710a84f242d0b8971301ec5d40a05a08c191dac07b1d49,sandp500
jessicali9530/celeba-dataset,gs://kds-d7e10fd517e4f54b29e7086711d1ae37a682dd27ebf158184b9a0cf6,celeba-dataset
datasnaek/mbti-type,gs://kds-60b4ec8a59144cb4ac990fb8fa87287db2903e1e8fa01339fcfea703,mbti-type
carrie1/ecommerce-data,gs://kds-93b6b8a45181bfb1a039723793d1224309092e51a867567fdf7ed365,ecommerce-data
rajeevw/ufcdata,gs://kds-cf2cb96b2b74071847358b7f53759ab297c6e5b765b623692286d91f,ufcdata
wsj/college-salaries,gs://kds-d2a3706fa6c382903e985a260919b0243eb8697e634ac79a15ec87f8,college-salaries
joniarroba/noshowappointments,gs://kds-edc4a34613cbcdbc7fa0a275ff122dbb3dd92dabf327098efa9388b5,noshowappointments
abecklas/fifa-world-cup,gs://kds-b25cc67c786f99b113a9c8735ca1ce1584e4f6585e41ed3c53b55d83,fifa-world-cup
rounakbanik/ted-talks,gs://kds-24252dec022430871bceeb55650b98205d61fbd3a5106381a69b5fd1,ted-talks
mylesoneill/world-university-rankings,gs://kds-faef2f65e9c2c141fa7e53b2b65fa3686d82d043d31883c18462db93,world-university-rankings
annavictoria/speed-dating-experiment,gs://kds-ae3b39d784e4280f6da64343ffab03135860b4be04e718494f71ccd3,speed-dating-experiment
usdot/flight-delays,gs://kds-4039c0d334ddfa5a1382cbe88623fb19615f52ffe6984affc236cddb,flight-delays
donorschoose/io,gs://kds-78c5ad12f99347603e6cf27902a42d38d7b1fcaf09b2a218c14c2adc,io
crowdflower/twitter-airline-sentiment,gs://kds-539104b28bfe88cb4539b4534be02afa1e2359dc82757c65ed28079d,twitter-airline-sentiment
uciml/sms-spam-collection-dataset,gs://kds-11945a5689fbb86b507ee0326e627c65fa5808567a42f8a246f72653,sms-spam-collection-dataset
rush4ratio/video-game-sales-with-ratings,gs://kds-15430a40d9a8bd4cf61a8c7a8cc74084d4866affac12e4f26f4305d6,video-game-sales-with-ratings
leonardopena/top50spotify2019,gs://kds-7c311a730c478b66092e4f801b100bcbdc141b9cd2e4ba74aeacaf64,top50spotify2019
rounakbanik/pokemon,gs://kds-60e27dbf92cb38cc2c128d670509a0720066b79fa66954e892342251,pokemon
nicapotato/womens-ecommerce-clothing-reviews,gs://kds-c64efae2fa757b6b5d5dca5f84d85f423c151c8287b8ef4664a2a462,womens-ecommerce-clothing-reviews
gustavomodelli/forest-fires-in-brazil,gs://kds-1c67a132c4fa3ebb5716fdd8395bde1fbc23190ea9071f6ac212c6ab,forest-fires-in-brazil
osmi/mental-health-in-tech-survey,gs://kds-02e214ef9caffa20405a2d27561c761830adf95122db83011855a537,mental-health-in-tech-survey
tristan581/17k-apple-app-store-strategy-games,gs://kds-e860bd874ab698b870e2b987e1091aa0755d5862a13a632bb7c075b6,17k-apple-app-store-strategy-games
primaryobjects/voicegender,gs://kds-6127491994d21d66aca46a1814323a4a51b1a1cdbbaaea099a47ddf0,voicegender
manasgarg/ipl,gs://kds-0e854ec06ef19778658763ff563e5d5eb76308a2442c0c905232e8cc,ipl
AnalyzeBoston/crimes-in-boston,gs://kds-8fbf4a1a8588f1005014242489bbfad23365c8fe7f4ac646b670c235,crimes-in-boston
drgilermo/nba-players-stats,gs://kds-c8ab980ce733a3a332543e0510f36af9d9f3c54dadb7bc5e43c312c5,nba-players-stats
CooperUnion/anime-recommendations-database,gs://kds-3d97880260aa4ecb8d6b78860266ed721aa20add5a0847dd234d6589,anime-recommendations-database
nih-chest-xrays/data,gs://kds-35e767b61f3930d5918e743edc4f5ad5f511714a979b93be5e8d7b96,data
ikarus777/best-artworks-of-all-time,gs://kds-dd20b92d51c57a173821993ce3b74c8a4db6033e59e0f10303d7743c,best-artworks-of-all-time
jessicali9530/stanford-dogs-dataset,gs://kds-e69a6044e7ebe7b38e48bfc0e878ef96edcfa8d43514d275d57e1cdb,stanford-dogs-dataset
fernandol/countries-of-the-world,gs://kds-2fa4293fc17dc49091c275bf37cf64954da3432ac8cc4367e5a2eb3c,countries-of-the-world
zillow/zecon,gs://kds-0b615bddc6a0cd5c34271f3872a415705e26fe51fa16f311ecfa7159,zecon
miroslavsabo/young-people-survey,gs://kds-41a91a9abfe42b671ae52adef4e34881d3c38f51d6ee6e6dc2842c70,young-people-survey
rmisra/news-headlines-dataset-for-sarcasm-detection,gs://kds-4ff1eef38c1512e5760d54b675b5aa727b2dce72268fb0f3b673a902,news-headlines-dataset-for-sarcasm-detection
rtatman/chocolate-bar-ratings,gs://kds-0975227c2ac38210a739922c951dc666d2c7b0ddf83fa1a49043b64e,chocolate-bar-ratings
shivam2503/diamonds,gs://kds-b16a9e958ab2c9e231423d0e4b41677f35c0892890d56fdafe92d3f2,diamonds
uciml/default-of-credit-card-clients-dataset,gs://kds-3553e16543b39824761f59be24ac13a8985f30c1cb26e08957418466,default-of-credit-card-clients-dataset
clmentbisaillon/fake-and-real-news-dataset,gs://kds-fdc1ecfdc766c93b83f13402073aff240219ec7d62703bb7762b0230,fake-and-real-news-dataset
kaggle/sf-salaries,gs://kds-4f6acdd9d946c98d16247f8998159d2c1916b7d552669faf3a3ee9b9,sf-salaries
jsphyg/weather-dataset-rattle-package,gs://kds-c41f95f74dedd33381468f57c5f9cfa1d4d34479e57ee2a70b71a016,weather-dataset-rattle-package
pavanraj159/predicting-a-pulsar-star,gs://kds-2df10e2b2c3ce25da1b1112b8f71d1c8feb155360574add26e26793f,predicting-a-pulsar-star
brendaso/2019-coronavirus-dataset-01212020-01262020,gs://kds-76d0f23d8bd758d64641484e14b74a9817581863e2737bfe8eb17fd2,2019-coronavirus-dataset-01212020-01262020
paultimothymooney/blood-cells,gs://kds-41d5a48cf127eac6bdeb84ba4c6ca7af335ab8d094af31f327979f8e,blood-cells
maxhorowitz/nflplaybyplay2009to2016,gs://kds-ef5d67935fae48f14b8fc06afd05e2a2ca91ecc30db06538a60246c3,nflplaybyplay2009to2016
ardamavi/sign-language-digits-dataset,gs://kds-c18b1ce545920c4ae8215ed4d27b5d0f7750de61b4cb246d75d14ff0,sign-language-digits-dataset
shrutimehta/zomato-restaurants-data,gs://kds-36d7ef84d7dda336f6ddfa0730546a6ab271431c75d2fd4da0669d25,zomato-restaurants-data
